Mindmap category,,,,,,,,,Bottom Up,Technology Offerings,Categories,Blips,URL,A/D,O,Research,WA,WA Combined,A/B,DOT,BS,Capacity,Sean,S1,Diptesh,D1,Sudip,S2,Darach,D2,Abhishek,A1,India DoT,Naresh,N1,Dixit 
,,,,,,,,,Presentation layer,Next Generation Platform,Techniques,Responsive Web Design,https://vox.sapient.com/docs/DOC-119849,,,,,,Invest,In,50,0,,,,,,,,,,,,,,
,,,,,,,,,Delivery,Next Generation Platform,Techniques,Development environments in the cloud,,,,,,,Invest,In,50,0,,,,,,,,,,,,,,
,,,,,,,,,Delivery,Next Generation Platform,Techniques,Machine image as a build artifact,,,,,,,Watch,In,50,0,,,,,,,,,,,,,,
,,,,,,,,,Delivery,Next Generation Platform,Techniques,Sapient Approach,,,,,,,Maintain,In,50,0,,,,,,,,,,,,,,
,,,,,,,,,Business services,Other,Techniques,Structured logging,https://vox.sapient.com/docs/DOC-119776?sr=stream,,,,,,Invest,In,50,0,,,,,,,,,,,,,,
,,,,,,,,,Delivery,Next Generation Platform,Techniques,Continuous delivery,,,,,,,Invest,In,50,0,,,,,,,,,,,,,,
,,,,,,,,,Presentation layer,Next Generation Platform,Techniques,HTML5 storage instead of cookies,https://vox.sapient.com/docs/DOC-119855,,,,,,Invest,In,50,0,,,,,,,,,,,,,,
,,,,,,,,,Delivery,Next Generation Platform,Techniques,Performance as a first class citzen,,,,,,,Invest,In,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Presentation,Visualization,Data Discovery Vendors,Tableau,,,,Data layer,Business Intelligence,Tools,Tableau,https://vox.sapient.com/docs/DOC-118566,,IND,,3.666666667,Maintain,Invest,In,50,0,Maintain,4,Invest,3,Invest,3,Maintain,4,Maintain,4,,Maintain,4,
Tech Stack,Layers,Presentation,Visualization,Data Discovery Vendors,Quickview,,,,Data layer,Business Intelligence,Tools,Qlikview,https://vox.sapient.com/docs/DOC-118568,,EU,,1,Hold,Invest,Static,50,0,Watch,2,Invest,3,No Opinion ,0,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Layers,Presentation,Visualization,Data Discovery Vendors,Spotfire,,,,Data layer,Business Intelligence,Tools,Spotfire,https://vox.sapient.com/docs/DOC-118572,,EU,,1.166666667,Hold,Invest,Out,50,0,Watch,2,Watch,2,No Opinion ,0,No Opinion ,0,Hold,1,,Watch,2,
Tech Stack,Layers,Presentation,Visualization,Data Discovery Vendors,Datameer,,,,Data layer,Business Intelligence,Platforms,Datameer,https://vox.sapient.com/docs/DOC-118573,,EU,,0.666666667,Hold,Watch,In,50,0,No Opinion,0,Watch,2,No Opinion ,0,No Opinion ,0,Watch,2,,No Opinion,0,
Tech Stack,Layers,Presentation,Visualization,Data Discovery Vendors,Panopticon,,,,Data layer,Business Intelligence,Tools,Panopticon,https://vox.sapient.com/docs/DOC-118575,,EU,,1.666666667,Watch,Watch,Out,50,0,Hold,1,Watch,2,Watch,2,No Opinion ,0,Invest,3,,Watch,2,
